,col
131,"Stunning round from Brooke, can the commentators please stop yapping, and please don't tell me what I can see for my self, its not radio. man do they yap a load a crap."
132,"THE SPLIT SCREEN AIN'T MAKIN' IT, MAN.  aRE U TELLING ME, WITH TODAYS TECHNOLOGY, YOU CAN'T FIGURE OUT A WAY TO GET A CAMERA ELEVATED ABOVE THE TEE SO VIEWERS CAN WATCH THE FLIGHT OF THE BALL IN REAL TIME AND FROM A MEANINGFUL PERSPECTIVE?"
133,thats gucci brah
134,ALL THESE NUMBSKULLS IN THE GALLERY ARE THERE FOR WOODS BUT IT DIDN'T GO QUITE AS PLANNED. DID IT?   KOEPKA IS SHOWING THEM ALL HOW IT'S DONE......
135,Hate to say it but Brookes was my pick this week.  You need to hit it long off the tee but also be able to work it right or left. Not many have that power and ability to shape it like he does. Hope he can close it out. People who think Tiger had a shot this week don't know Bethpage Black.
136,A golf machine makes it look to easy.
137,I ain't gonna mess w/ ( ya ) him to much . he's good.but he's not up there w/the BIG BOYZ OF GOLF yet.🤔Philly the Mickelson Tiger the Woods & ? BUBBA the Watson .it takes years 😀hahaha good day & an lol to you
138,This guy is a freak
139,"@13:45 Guys shouting ""C'mmon Tiger"" are a disgrace. They're neither Tiger fans and also disrespecting Brooks solid performance!"
140,Ball trail were showing them dropping in rough.
141,"the best golfer in this generation, so sad he doesn't get the recognition he deserves, should be the number 1 golfer in the world"
142,I ain't gonna mess w/ ( ya ) him to much . he's good.but he's not up there w/the BIG BOYZ OF GOLF yet.🤔Philly the Mickelson Tiger the Woods & ? BUBBA the Watson .it takes years 😀hahaha good day & an lol to you
143,"I think the toughness of said course was over hyped.  The tops pros are working it slowly but surely.  It’s the driver that is doing this.  Nothing else.  In the fairway=birdie chances.  Easy slow greens.  Straight putts, pros will score.  Koepka most likely leads in fairways hit and putts.  Simple shit."
144,"The ratings just died, not even a million people will be watching the next 2 rounds. Brooks is the most unexciting, robotic player ever. Who’s so big headed that he claims majors are easy when he’s been on tour for 8 years and has 4 wins. He’s on a hot streak, whoop-de-doo."
145,John Cena of golf!
